experimento,arquivo_tsp,melhor_distancia,tempo_execucao_s,geracoes_executadas,n_individuos,max_geracoes,taxa_mutacao,paciencia_convergencia,inicializacao,crossover,mutacao,criterio_parada
taxa_mutacao,tsp_1.csv,123.66067044726294,0.9285128116607666,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_1.csv,123.66067044726294,0.9242322444915771,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_1.csv,123.66067044726294,0.9399511814117432,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_1.csv,123.66067044726294,0.9461727142333984,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_1.csv,123.66067044726294,0.9514381885528564,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_1.csv,123.66067044726294,0.9365172386169434,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_1.csv,123.66067044726294,0.9114031791687012,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_1.csv,123.66067044726294,0.9237637519836426,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_1.csv,123.66067044726294,0.9280602931976318,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_1.csv,123.66067044726294,0.9179425239562988,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_1.csv,123.66067044726294,0.09180831909179688,51,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_2.csv,184.33959265963995,0.9280695915222168,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_2.csv,184.33959265963995,0.9342870712280273,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_2.csv,184.33959265963995,0.9558813571929932,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_2.csv,184.33959265963995,0.9280343055725098,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_2.csv,184.33959265963995,0.9327487945556641,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_2.csv,184.33959265963995,0.9414577484130859,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_2.csv,184.33959265963995,0.9031484127044678,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_2.csv,184.33959265963995,0.929311990737915,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_2.csv,184.33959265963995,0.9234793186187744,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_2.csv,184.33959265963995,0.9183151721954346,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_2.csv,184.33959265963995,0.09366607666015625,51,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_3.csv,161.05240043905854,0.9714367389678955,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_3.csv,161.05240043905854,0.9661321640014648,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_3.csv,161.05240043905854,0.9954414367675781,500,100,500,0.15,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_3.csv,161.05240043905857,1.0017280578613281,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
inicializacao,tsp_3.csv,161.05240043905854,0.9702842235565186,500,100,500,0.05,50,heuristica,ordenado,inversao,geracoes
crossover,tsp_3.csv,161.05240043905854,0.9626097679138184,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
crossover,tsp_3.csv,161.05240043905854,0.9371945858001709,500,100,500,0.05,50,aleatoria,pmx,inversao,geracoes
mutacao,tsp_3.csv,161.05240043905857,0.9732792377471924,500,100,500,0.05,50,aleatoria,ordenado,troca,geracoes
mutacao,tsp_3.csv,161.05240043905854,0.9829466342926025,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_3.csv,161.05240043905854,0.9689388275146484,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
criterio_parada,tsp_3.csv,161.05240043905854,0.13524866104125977,70,100,500,0.05,50,aleatoria,ordenado,inversao,convergencia
taxa_mutacao,tsp_4.csv,179.04254702634094,0.9912211894989014,500,100,500,0.01,50,aleatoria,ordenado,inversao,geracoes
taxa_mutacao,tsp_4.csv,179.0425470263409,1.054687738418579,500,100,500,0.05,50,aleatoria,ordenado,inversao,geracoes
